======================================================================
CIFAR-10 Depth-Spanning Columnar Architecture
======================================================================
Model: resnet18
Activation: leaky_relu
Column activation: leaky_relu
Columns: 4
Column mode: all_active
Shared columns: 2
Active non-shared: 2
Combiner: sum
Embed dim: 64
Microcolumn dim: 32
Epochs: 10.0
Batch size: 128
Learning rate: 0.01
Weight decay: 0.01
Inference steps: 40
Inference eta: 0.1

Stage outputs: stage2=(16, 16, 64), stage3=(8, 8, 128), stage4=(4, 4, 256)
Target grid: (4, 4), tokens: 16

Active columns: [0, 1, 2, 3]
Graph: 41 nodes, 64 edges
Parameters: 2,925,658

Loading CIFAR-10...
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1782145158.336931 1868016 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
I0000 00:00:1782145158.337446 1868016 cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1782145159.146514 1868016 port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
I0000 00:00:1782145159.146856 1868016 cudart_stub.cc:31] Could not find cuda drivers on your machine, GPU will not be used.
E0000 00:00:1782145159.241610 1868016 cuda_executor.cc:1737] INTERNAL: CUDA Runtime error: Failed call to cudaGetRuntimeVersion: Error loading CUDA libraries. GPU will not be used.: Error loading CUDA libraries. GPU will not be used.
W0000 00:00:1782145159.252439 1868016 gpu_device.cc:2365] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
Train batches: 352
Val batches: 40
Test batches: 79

----------------------------------------------------------------------
Energy Diagnosis (before training)
----------------------------------------------------------------------
E0622 12:19:31.564981 1868167 cuda_timer.cc:87] Delay kernel timed out: measured time has sub-optimal accuracy. There may be a missing warmup execution, please investigate in Nsight Systems.
  backbone: 0.1322
  stage_taps: 0.2469
  columns: 9.1497
  combiner: 31.2576
  bypass: 38.3257
  classifier: 95.0776
  E_gauss: 79.1121
  E_ce: 95.0776
  E_gauss/E_ce: 0.8321
Column outputs (z_latent statistics):
  bypass_pool        mean=+0.0003 std=0.0489 min=-0.1751 max=+0.1708
  col_00             mean=-0.0000 std=0.9972 min=-3.0056 max=+3.3501
  col_01             mean=-0.0000 std=0.9971 min=-3.8790 max=+3.1104
  col_02             mean=-0.0000 std=0.9981 min=-3.3675 max=+3.3228
  col_03             mean=-0.0000 std=0.9974 min=-3.1317 max=+3.0470
  column_pool        mean=-0.0015 std=0.0877 min=-0.2635 max=+0.3267
  combiner           mean=-0.0000 std=0.0112 min=-0.0445 max=+0.0392
  output             mean=+0.1000 std=0.3000 min=+0.0000 max=+1.0000
  stage2_tap         mean=+0.0000 std=0.9870 min=-3.0377 max=+3.2268
  stage3_tap         mean=+0.0000 std=0.9869 min=-3.3510 max=+2.9524
  stage4_pool        mean=+0.0000 std=0.0841 min=-0.3982 max=+0.4354
  stage4_tap         mean=-0.0000 std=0.9869 min=-3.0228 max=+2.7486
----------------------------------------------------------------------

Training for 10.0 epochs...
    E_gauss=8.9851 E_ce=3.2846 ratio=2.7355 combiner=1.6054 columns=0.0026 stage_taps=0.0023
    column |z|≈0.9904 (per-col std range 0.9767–0.9946)
    combiner z_latent mean=-0.0000 std=0.0106
    col-pair |corr|: max=0.1510 mean=0.0548
    output ||W|| per edge: bypass_pool->output:in=36.3489 column_pool->output:in=16.3632

Epoch 2/10:  10%|█         | 352/3520 [06:03<8:42:39,  9.90s/it, energy=0.0854, epoch=1/10]
Epoch 2/10:  10%|█         | 352/3520 [06:03<8:42:39,  9.90s/it, energy=0.0990, epoch=2/10]
Epoch 2/10:  10%|█         | 353/3520 [06:03<19:30:07, 22.17s/it, energy=0.0990, epoch=2/10]
Epoch 2/10:  10%|█         | 353/3520 [06:04<19:30:07, 22.17s/it, energy=0.0899, epoch=2/10]
Epoch 2/10:  10%|█         | 354/3520 [06:04<13:50:23, 15.74s/it, energy=0.0899, epoch=2/10]
Epoch 2/10:  10%|█         | 354/3520 [06:05<13:50:23, 15.74s/it, energy=0.0930, epoch=2/10]
Epoch 2/10:  10%|█         | 355/3520 [06:05<9:52:37, 11.23s/it, energy=0.0930, epoch=2/10] 
Epoch 2/10:  10%|█         | 355/3520 [06:06<9:52:37, 11.23s/it, energy=0.0893, epoch=2/10]
Epoch 2/10:  10%|█         | 356/3520 [06:06<7:06:13,  8.08s/it, energy=0.0893, epoch=2/10]
Epoch 2/10:  10%|█         | 356/3520 [06:06<7:06:13,  8.08s/it, energy=0.0910, epoch=2/10]
Epoch 2/10:  10%|█         | 357/3520 [06:06<5:09:47,  5.88s/it, energy=0.0910, epoch=2/10]
Epoch 2/10:  10%|█         | 357/3520 [06:07<5:09:47,  5.88s/it, energy=0.0956, epoch=2/10]
Epoch 2/10:  10%|█         | 358/3520 [06:07<3:48:18,  4.33s/it, energy=0.0956, epoch=2/10]
Epoch 2/10:  10%|█         | 358/3520 [06:08<3:48:18,  4.33s/it, energy=0.0957, epoch=2/10]
Epoch 2/10:  10%|█         | 359/3520 [06:08<2:51:15,  3.25s/it, energy=0.0957, epoch=2/10]
Epoch 2/10:  10%|█         | 359/3520 [06:09<2:51:15,  3.25s/it, energy=0.0847, epoch=2/10]
Epoch 2/10:  10%|█         | 360/3520 [06:09<2:11:22,  2.49s/it, energy=0.0847, epoch=2/10]
Epoch 2/10:  10%|█         | 360/3520 [06:09<2:11:22,  2.49s/it, energy=0.0909, epoch=2/10]
Epoch 2/10:  10%|█         | 361/3520 [06:09<1:43:26,  1.96s/it, energy=0.0909, epoch=2/10]
Epoch 2/10:  10%|█         | 361/3520 [06:10<1:43:26,  1.96s/it, energy=0.0907, epoch=2/10]
Epoch 2/10:  10%|█         | 362/3520 [06:10<1:23:54,  1.59s/it, energy=0.0907, epoch=2/10]
Epoch 2/10:  10%|█         | 362/3520 [06:11<1:23:54,  1.59s/it, energy=0.0927, epoch=2/10]
Epoch 2/10:  10%|█         | 363/3520 [06:11<1:10:11,  1.33s/it, energy=0.0927, epoch=2/10]
Epoch 2/10:  10%|█         | 363/3520 [06:12<1:10:11,  1.33s/it, energy=0.0817, epoch=2/10]
Epoch 2/10:  10%|█         | 364/3520 [06:12<1:00:40,  1.15s/it, energy=0.0817, epoch=2/10]
Epoch 2/10:  10%|█         | 364/3520 [06:12<1:00:40,  1.15s/it, energy=0.0867, epoch=2/10]
Epoch 2/10:  10%|█         | 365/3520 [06:12<53:57,  1.03s/it, energy=0.0867, epoch=2/10]  
Epoch 2/10:  10%|█         | 365/3520 [06:13<53:57,  1.03s/it, energy=0.0929, epoch=2/10]
Epoch 2/10:  10%|█         | 366/3520 [06:13<49:16,  1.07it/s, energy=0.0929, epoch=2/10]
Epoch 2/10:  10%|█         | 366/3520 [06:14<49:16,  1.07it/s, energy=0.0892, epoch=2/10]
Epoch 2/10:  10%|█         | 367/3520 [06:14<45:57,  1.14it/s, energy=0.0892, epoch=2/10]
Epoch 2/10:  10%|█         | 367/3520 [06:14<45:57,  1.14it/s, energy=0.0888, epoch=2/10]
Epoch 2/10:  10%|█         | 368/3520 [06:14<43:39,  1.20it/s, energy=0.0888, epoch=2/10]
Epoch 2/10:  10%|█         | 368/3520 [06:15<43:39,  1.20it/s, energy=0.0878, epoch=2/10]
Epoch 2/10:  10%|█         | 369/3520 [06:15<42:03,  1.25it/s, energy=0.0878, epoch=2/10]
Epoch 2/10:  10%|█         | 369/3520 [06:16<42:03,  1.25it/s, energy=0.0895, epoch=2/10]
Epoch 2/10:  11%|█         | 370/3520 [06:16<40:55,  1.28it/s, energy=0.0895, epoch=2/10]
Epoch 2/10:  11%|█         | 370/3520 [06:17<40:55,  1.28it/s, energy=0.0844, epoch=2/10]
Epoch 2/10:  11%|█         | 371/3520 [06:17<40:07,  1.31it/s, energy=0.0844, epoch=2/10]
Epoch 2/10:  11%|█         | 371/3520 [06:17<40:07,  1.31it/s, energy=0.0856, epoch=2/10]
Epoch 2/10:  11%|█         | 372/3520 [06:17<39:34,  1.33it/s, energy=0.0856, epoch=2/10]
Epoch 2/10:  11%|█         | 372/3520 [06:18<39:34,  1.33it/s, energy=0.0810, epoch=2/10]
Epoch 2/10:  11%|█         | 373/3520 [06:18<39:10,  1.34it/s, energy=0.0810, epoch=2/10]
Epoch 2/10:  11%|█         | 373/3520 [06:19<39:10,  1.34it/s, energy=0.0934, epoch=2/10]
Epoch 2/10:  11%|█         | 374/3520 [06:19<38:53,  1.35it/s, energy=0.0934, epoch=2/10]
Epoch 2/10:  11%|█         | 374/3520 [06:20<38:53,  1.35it/s, energy=0.0968, epoch=2/10]
Epoch 2/10:  11%|█         | 375/3520 [06:20<38:40,  1.36it/s, energy=0.0968, epoch=2/10]
Epoch 2/10:  11%|█         | 375/3520 [06:20<38:40,  1.36it/s, energy=0.0922, epoch=2/10]
Epoch 2/10:  11%|█         | 376/3520 [06:20<38:32,  1.36it/s, energy=0.0922, epoch=2/10]
Epoch 2/10:  11%|█         | 376/3520 [06:21<38:32,  1.36it/s, energy=0.0882, epoch=2/10]
Epoch 2/10:  11%|█         | 377/3520 [06:21<38:26,  1.36it/s, energy=0.0882, epoch=2/10]
Epoch 2/10:  11%|█         | 377/3520 [06:22<38:26,  1.36it/s, energy=0.0875, epoch=2/10]
Epoch 2/10:  11%|█         | 378/3520 [06:22<38:21,  1.37it/s, energy=0.0875, epoch=2/10]
Epoch 2/10:  11%|█         | 378/3520 [06:22<38:21,  1.37it/s, energy=0.0829, epoch=2/10]
Epoch 2/10:  11%|█         | 379/3520 [06:22<38:16,  1.37it/s, energy=0.0829, epoch=2/10]
Epoch 2/10:  11%|█         | 379/3520 [06:23<38:16,  1.37it/s, energy=0.0858, epoch=2/10]
Epoch 2/10:  11%|█         | 380/3520 [06:23<38:14,  1.37it/s, energy=0.0858, epoch=2/10]
Epoch 2/10:  11%|█         | 380/3520 [06:24<38:14,  1.37it/s, energy=0.0897, epoch=2/10]
Epoch 2/10:  11%|█         | 381/3520 [06:24<38:10,  1.37it/s, energy=0.0897, epoch=2/10]
Epoch 2/10:  11%|█         | 381/3520 [06:25<38:10,  1.37it/s, energy=0.0871, epoch=2/10]
Epoch 2/10:  11%|█         | 382/3520 [06:25<38:11,  1.37it/s, energy=0.0871, epoch=2/10]
Epoch 2/10:  11%|█         | 382/3520 [06:25<38:11,  1.37it/s, energy=0.0914, epoch=2/10]
Epoch 2/10:  11%|█         | 383/3520 [06:25<38:09,  1.37it/s, energy=0.0914, epoch=2/10]
Epoch 2/10:  11%|█         | 383/3520 [06:26<38:09,  1.37it/s, energy=0.0893, epoch=2/10]
Epoch 2/10:  11%|█         | 384/3520 [06:26<38:08,  1.37it/s, energy=0.0893, epoch=2/10]
Epoch 2/10:  11%|█         | 384/3520 [06:27<38:08,  1.37it/s, energy=0.0876, epoch=2/10]
Epoch 2/10:  11%|█         | 385/3520 [06:27<38:07,  1.37it/s, energy=0.0876, epoch=2/10]
Epoch 2/10:  11%|█         | 385/3520 [06:28<38:07,  1.37it/s, energy=0.0852, epoch=2/10]
Epoch 2/10:  11%|█         | 386/3520 [06:28<38:08,  1.37it/s, energy=0.0852, epoch=2/10]
Epoch 2/10:  11%|█         | 386/3520 [06:28<38:08,  1.37it/s, energy=0.0826, epoch=2/10]
Epoch 2/10:  11%|█         | 387/3520 [06:28<38:06,  1.37it/s, energy=0.0826, epoch=2/10]
Epoch 2/10:  11%|█         | 387/3520 [06:29<38:06,  1.37it/s, energy=0.0847, epoch=2/10]
Epoch 2/10:  11%|█         | 388/3520 [06:29<38:06,  1.37it/s, energy=0.0847, epoch=2/10]
Epoch 2/10:  11%|█         | 388/3520 [06:30<38:06,  1.37it/s, energy=0.0786, epoch=2/10]
Epoch 2/10:  11%|█         | 389/3520 [06:30<38:04,  1.37it/s, energy=0.0786, epoch=2/10]
Epoch 2/10:  11%|█         | 389/3520 [06:30<38:04,  1.37it/s, energy=0.0795, epoch=2/10]
Epoch 2/10:  11%|█         | 390/3520 [06:30<38:04,  1.37it/s, energy=0.0795, epoch=2/10]
Epoch 2/10:  11%|█         | 390/3520 [06:31<38:04,  1.37it/s, energy=0.0894, epoch=2/10]
Epoch 2/10:  11%|█         | 391/3520 [06:31<38:02,  1.37it/s, energy=0.0894, epoch=2/10]
Epoch 2/10:  11%|█         | 391/3520 [06:32<38:02,  1.37it/s, energy=0.0963, epoch=2/10]
Epoch 2/10:  11%|█         | 392/3520 [06:32<38:02,  1.37it/s, energy=0.0963, epoch=2/10]
Epoch 2/10:  11%|█         | 392/3520 [06:33<38:02,  1.37it/s, energy=0.0869, epoch=2/10]
Epoch 2/10:  11%|█         | 393/3520 [06:33<38:00,  1.37it/s, energy=0.0869, epoch=2/10]
Epoch 2/10:  11%|█         | 393/3520 [06:33<38:00,  1.37it/s, energy=0.0850, epoch=2/10]
Epoch 2/10:  11%|█         | 394/3520 [06:33<38:00,  1.37it/s, energy=0.0850, epoch=2/10]
Epoch 2/10:  11%|█         | 394/3520 [06:34<38:00,  1.37it/s, energy=0.0818, epoch=2/10]
Epoch 2/10:  11%|█         | 395/3520 [06:34<37:58,  1.37it/s, energy=0.0818, epoch=2/10]
Epoch 2/10:  11%|█         | 395/3520 [06:35<37:58,  1.37it/s, energy=0.0821, epoch=2/10]
Epoch 2/10:  11%|█▏        | 396/3520 [06:35<37:58,  1.37it/s, energy=0.0821, epoch=2/10]
Epoch 2/10:  11%|█▏        | 396/3520 [06:36<37:58,  1.37it/s, energy=0.0790, epoch=2/10]
Epoch 2/10:  11%|█▏        | 397/3520 [06:36<37:56,  1.37it/s, energy=0.0790, epoch=2/10]
Epoch 2/10:  11%|█▏        | 397/3520 [06:36<37:56,  1.37it/s, energy=0.0822, epoch=2/10]
Epoch 2/10:  11%|█▏        | 398/3520 [06:36<37:58,  1.37it/s, energy=0.0822, epoch=2/10]
Epoch 2/10:  11%|█▏        | 398/3520 [06:37<37:58,  1.37it/s, energy=0.0830, epoch=2/10]
Epoch 2/10:  11%|█▏        | 399/3520 [06:37<37:56,  1.37it/s, energy=0.0830, epoch=2/10]
Epoch 2/10:  11%|█▏        | 399/3520 [06:38<37:56,  1.37it/s, energy=0.0894, epoch=2/10]
Epoch 2/10:  11%|█▏        | 400/3520 [06:38<37:56,  1.37it/s, energy=0.0894, epoch=2/10]
Epoch 2/10:  11%|█▏        | 400/3520 [06:39<37:56,  1.37it/s, energy=0.0830, epoch=2/10]
Epoch 2/10:  11%|█▏        | 401/3520 [06:39<37:54,  1.37it/s, energy=0.0830, epoch=2/10]
Epoch 2/10:  11%|█▏        | 401/3520 [06:39<37:54,  1.37it/s, energy=0.0863, epoch=2/10]
Epoch 2/10:  11%|█▏        | 402/3520 [06:39<37:55,  1.37it/s, energy=0.0863, epoch=2/10]
Epoch 2/10:  11%|█▏        | 402/3520 [06:40<37:55,  1.37it/s, energy=0.0837, epoch=2/10]
Epoch 2/10:  11%|█▏        | 403/3520 [06:40<37:53,  1.37it/s, energy=0.0837, epoch=2/10]
Epoch 2/10:  11%|█▏        | 403/3520 [06:41<37:53,  1.37it/s, energy=0.0872, epoch=2/10]
Epoch 2/10:  11%|█▏        | 404/3520 [06:41<37:54,  1.37it/s, energy=0.0872, epoch=2/10]
Epoch 2/10:  11%|█▏        | 404/3520 [06:41<37:54,  1.37it/s, energy=0.0806, epoch=2/10]
Epoch 2/10:  12%|█▏        | 405/3520 [06:41<37:52,  1.37it/s, energy=0.0806, epoch=2/10]
Epoch 2/10:  12%|█▏        | 405/3520 [06:42<37:52,  1.37it/s, energy=0.2047, epoch=2/10]
Epoch 2/10:  12%|█▏        | 406/3520 [06:42<37:51,  1.37it/s, energy=0.2047, epoch=2/10]
Epoch 2/10:  12%|█▏        | 406/3520 [06:43<37:51,  1.37it/s, energy=0.0786, epoch=2/10]
Epoch 2/10:  12%|█▏        | 407/3520 [06:43<37:49,  1.37it/s, energy=0.0786, epoch=2/10]
Epoch 2/10:  12%|█▏        | 407/3520 [06:44<37:49,  1.37it/s, energy=0.0869, epoch=2/10]
Epoch 2/10:  12%|█▏        | 408/3520 [06:44<37:50,  1.37it/s, energy=0.0869, epoch=2/10]
Epoch 2/10:  12%|█▏        | 408/3520 [06:44<37:50,  1.37it/s, energy=0.0773, epoch=2/10]
Epoch 2/10:  12%|█▏        | 409/3520 [06:44<37:47,  1.37it/s, energy=0.0773, epoch=2/10]
Epoch 2/10:  12%|█▏        | 409/3520 [06:45<37:47,  1.37it/s, energy=0.0812, epoch=2/10]
Epoch 2/10:  12%|█▏        | 410/3520 [06:45<37:48,  1.37it/s, energy=0.0812, epoch=2/10]
Epoch 2/10:  12%|█▏        | 410/3520 [06:46<37:48,  1.37it/s, energy=0.0875, epoch=2/10]
Epoch 2/10:  12%|█▏        | 411/3520 [06:46<37:46,  1.37it/s, energy=0.0875, epoch=2/10]
Epoch 2/10:  12%|█▏        | 411/3520 [06:47<37:46,  1.37it/s, energy=0.0818, epoch=2/10]
Epoch 2/10:  12%|█▏        | 412/3520 [06:47<37:46,  1.37it/s, energy=0.0818, epoch=2/10]
Epoch 2/10:  12%|█▏        | 412/3520 [06:47<37:46,  1.37it/s, energy=0.0854, epoch=2/10]
Epoch 2/10:  12%|█▏        | 413/3520 [06:47<37:45,  1.37it/s, energy=0.0854, epoch=2/10]
Epoch 2/10:  12%|█▏        | 413/3520 [06:48<37:45,  1.37it/s, energy=0.0833, epoch=2/10]
Epoch 2/10:  12%|█▏        | 414/3520 [06:48<37:46,  1.37it/s, energy=0.0833, epoch=2/10]
Epoch 2/10:  12%|█▏        | 414/3520 [06:49<37:46,  1.37it/s, energy=0.0802, epoch=2/10]
Epoch 2/10:  12%|█▏        | 415/3520 [06:49<37:43,  1.37it/s, energy=0.0802, epoch=2/10]
Epoch 2/10:  12%|█▏        | 415/3520 [06:49<37:43,  1.37it/s, energy=0.0794, epoch=2/10]
Epoch 2/10:  12%|█▏        | 416/3520 [06:49<37:44,  1.37it/s, energy=0.0794, epoch=2/10]
Epoch 2/10:  12%|█▏        | 416/3520 [06:50<37:44,  1.37it/s, energy=0.0797, epoch=2/10]
Epoch 2/10:  12%|█▏        | 417/3520 [06:50<37:42,  1.37it/s, energy=0.0797, epoch=2/10]
Epoch 2/10:  12%|█▏        | 417/3520 [06:51<37:42,  1.37it/s, energy=0.0802, epoch=2/10]
Epoch 2/10:  12%|█▏        | 418/3520 [06:51<37:42,  1.37it/s, energy=0.0802, epoch=2/10]
Epoch 2/10:  12%|█▏        | 418/3520 [06:52<37:42,  1.37it/s, energy=0.0814, epoch=2/10]
Epoch 2/10:  12%|█▏        | 419/3520 [06:52<37:41,  1.37it/s, energy=0.0814, epoch=2/10]
Epoch 2/10:  12%|█▏        | 419/3520 [06:52<37:41,  1.37it/s, energy=0.0856, epoch=2/10]
Epoch 2/10:  12%|█▏        | 420/3520 [06:52<37:42,  1.37it/s, energy=0.0856, epoch=2/10]
Epoch 2/10:  12%|█▏        | 420/3520 [06:53<37:42,  1.37it/s, energy=0.0805, epoch=2/10]
Epoch 2/10:  12%|█▏        | 421/3520 [06:53<37:40,  1.37it/s, energy=0.0805, epoch=2/10]
Epoch 2/10:  12%|█▏        | 421/3520 [06:54<37:40,  1.37it/s, energy=0.0827, epoch=2/10]
Epoch 2/10:  12%|█▏        | 422/3520 [06:54<37:40,  1.37it/s, energy=0.0827, epoch=2/10]
Epoch 2/10:  12%|█▏        | 422/3520 [06:55<37:40,  1.37it/s, energy=0.0838, epoch=2/10]
Epoch 2/10:  12%|█▏        | 423/3520 [06:55<37:38,  1.37it/s, energy=0.0838, epoch=2/10]
Epoch 2/10:  12%|█▏        | 423/3520 [06:55<37:38,  1.37it/s, energy=0.0785, epoch=2/10]
Epoch 2/10:  12%|█▏        | 424/3520 [06:55<37:39,  1.37it/s, energy=0.0785, epoch=2/10]
Epoch 2/10:  12%|█▏        | 424/3520 [06:56<37:39,  1.37it/s, energy=0.0806, epoch=2/10]
Epoch 2/10:  12%|█▏        | 425/3520 [06:56<37:37,  1.37it/s, energy=0.0806, epoch=2/10]
Epoch 2/10:  12%|█▏        | 425/3520 [06:57<37:37,  1.37it/s, energy=0.0792, epoch=2/10]
Epoch 2/10:  12%|█▏        | 426/3520 [06:57<37:38,  1.37it/s, energy=0.0792, epoch=2/10]
Epoch 2/10:  12%|█▏        | 426/3520 [06:57<37:38,  1.37it/s, energy=0.0809, epoch=2/10]
Epoch 2/10:  12%|█▏        | 427/3520 [06:57<37:35,  1.37it/s, energy=0.0809, epoch=2/10]
Epoch 2/10:  12%|█▏        | 427/3520 [06:58<37:35,  1.37it/s, energy=0.0779, epoch=2/10]
Epoch 2/10:  12%|█▏        | 428/3520 [06:58<37:35,  1.37it/s, energy=0.0779, epoch=2/10]
Epoch 2/10:  12%|█▏        | 428/3520 [06:59<37:35,  1.37it/s, energy=0.0760, epoch=2/10]
Epoch 2/10:  12%|█▏        | 429/3520 [06:59<37:33,  1.37it/s, energy=0.0760, epoch=2/10]
Epoch 2/10:  12%|█▏        | 429/3520 [07:00<37:33,  1.37it/s, energy=0.0783, epoch=2/10]
Epoch 2/10:  12%|█▏        | 430/3520 [07:00<37:33,  1.37it/s, energy=0.0783, epoch=2/10]
Epoch 2/10:  12%|█▏        | 430/3520 [07:00<37:33,  1.37it/s, energy=0.0787, epoch=2/10]
Epoch 2/10:  12%|█▏        | 431/3520 [07:00<37:32,  1.37it/s, energy=0.0787, epoch=2/10]
Epoch 2/10:  12%|█▏        | 431/3520 [07:01<37:32,  1.37it/s, energy=0.0794, epoch=2/10]
Epoch 2/10:  12%|█▏        | 432/3520 [07:01<37:32,  1.37it/s, energy=0.0794, epoch=2/10]
Epoch 2/10:  12%|█▏        | 432/3520 [07:02<37:32,  1.37it/s, energy=0.0775, epoch=2/10]
Epoch 2/10:  12%|█▏        | 433/3520 [07:02<37:30,  1.37it/s, energy=0.0775, epoch=2/10]
Epoch 2/10:  12%|█▏        | 433/3520 [07:03<37:30,  1.37it/s, energy=0.0765, epoch=2/10]
Epoch 2/10:  12%|█▏        | 434/3520 [07:03<37:30,  1.37it/s, energy=0.0765, epoch=2/10]
Epoch 2/10:  12%|█▏        | 434/3520 [07:03<37:30,  1.37it/s, energy=0.0797, epoch=2/10]
Epoch 2/10:  12%|█▏        | 435/3520 [07:03<37:29,  1.37it/s, energy=0.0797, epoch=2/10]
Epoch 2/10:  12%|█▏        | 435/3520 [07:04<37:29,  1.37it/s, energy=0.0826, epoch=2/10]
Epoch 2/10:  12%|█▏        | 436/3520 [07:04<37:30,  1.37it/s, energy=0.0826, epoch=2/10]
Epoch 2/10:  12%|█▏        | 436/3520 [07:05<37:30,  1.37it/s, energy=0.0758, epoch=2/10]
Epoch 2/10:  12%|█▏        | 437/3520 [07:05<37:28,  1.37it/s, energy=0.0758, epoch=2/10]
Epoch 2/10:  12%|█▏        | 437/3520 [07:05<37:28,  1.37it/s, energy=0.0825, epoch=2/10]
Epoch 2/10:  12%|█▏        | 438/3520 [07:05<37:28,  1.37it/s, energy=0.0825, epoch=2/10]
